City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.61,-37.64,37.4,93,2,6.93,GL,1594100628
1,busselton,-33.65,115.33,60.01,73,99,4.0,AU,1594100628
2,inuvik,68.35,-133.72,48.2,76,20,10.29,CA,1594100628
3,parian dakula,5.56,120.77,83.37,69,97,4.94,PH,1594100628
4,kikwit,-5.04,18.82,72.57,42,32,1.9,CD,1594100628
5,bluff,-46.6,168.33,39.0,83,94,3.0,NZ,1594100628
6,kapaa,22.08,-159.32,78.8,74,40,10.29,US,1594100628
7,bredasdorp,-34.53,20.04,55.4,71,49,8.05,ZA,1594100628
8,severo-kurilsk,50.68,156.12,55.49,82,15,4.81,RU,1594100628
9,pangnirtung,66.15,-65.71,42.35,77,49,1.95,CA,1594100628
10,barrow,71.29,-156.79,35.6,81,90,17.22,US,1594100461
11,avarua,-21.21,-159.78,71.6,83,98,13.87,CK,1594100628
12,kaitangata,-46.28,169.85,46.0,73,97,7.0,NZ,1594100628
13,kahului,20.89,-156.47,82.4,54,40,13.87,US,1594100347
14,khani,41.96,42.96,91.4,26,0,23.04,GE,1594100629
15,jamestown,42.1,-79.24,68.0,88,1,2.04,US,1594100448
16,bonavista,48.65,-53.11,45.0,86,44,1.99,CA,1594100629
17,castro,-24.79,-50.01,56.59,97,71,4.29,BR,1594100629
18,praia,14.92,-23.51,75.2,83,20,5.82,CV,1594100629
19,albany,42.6,-73.97,75.2,69,20,9.17,US,1594100629
20,magadan,59.57,150.8,57.11,62,86,8.41,RU,1594100629
21,beatrice,40.27,-96.75,75.2,83,1,6.38,US,1594100460
22,saskylakh,71.92,114.08,63.84,39,24,12.01,RU,1594100629
23,tshikapa,-6.42,20.8,67.19,37,33,1.92,CD,1594100629
24,kavieng,-2.57,150.8,84.02,75,36,10.78,PG,1594100629
25,chekhov,55.14,37.47,77.0,69,0,6.71,RU,1594100629
26,nikolskoye,59.7,30.79,63.0,82,85,4.47,RU,1594100629
27,lompoc,34.64,-120.46,55.4,87,0,10.29,US,1594100510
28,grindavik,63.84,-22.43,46.4,100,91,2.24,IS,1594100629
29,souillac,-20.52,57.52,75.2,88,75,6.93,MU,1594100629
30,dromolaxia,34.88,33.59,84.2,74,40,4.7,CY,1594100629
31,maryville,35.76,-83.97,78.8,65,90,8.05,US,1594100475
32,atambua,-9.11,124.89,79.84,65,38,3.38,ID,1594100629
33,mataura,-46.19,168.86,39.0,83,91,3.0,NZ,1594100630
34,pevek,69.7,170.31,48.9,65,91,9.8,RU,1594100630
35,kargasok,59.06,80.86,76.62,45,33,10.07,RU,1594100630
36,butaritari,3.07,172.79,83.37,75,7,11.36,KI,1594100630
37,hermanus,-34.42,19.23,55.99,67,78,1.01,ZA,1594100630
38,gobabis,-22.45,18.97,35.6,55,0,2.24,NA,1594100630
39,ushuaia,-54.8,-68.3,35.6,69,75,5.82,AR,1594100416
40,puerto ayora,-0.74,-90.35,66.99,97,82,7.92,EC,1594100630
41,charlestown,-32.95,151.67,64.0,63,2,1.99,AU,1594100630
42,punta arenas,-53.15,-70.92,24.8,92,26,8.05,CL,1594100630
43,bilma,18.69,12.92,85.71,17,57,1.59,NE,1594100630
44,pitimbu,-7.47,-34.81,73.71,84,7,9.64,BR,1594100630
45,luderitz,-26.65,15.16,53.6,76,96,13.87,NA,1594100630
46,mount gambier,-37.83,140.77,53.6,76,90,5.82,AU,1594100630
47,qaanaaq,77.48,-69.36,41.83,65,0,1.48,GL,1594100630
48,vangaindrano,-23.35,47.6,69.28,82,8,1.68,MG,1594100630
49,yumen,40.28,97.2,91.02,13,69,12.35,CN,1594100630
50,lebu,-37.62,-73.65,43.47,72,77,7.94,CL,1594100630
51,vao,-22.67,167.48,69.39,77,99,15.43,NC,1594100630
52,miramar,25.99,-80.23,81.0,83,1,4.83,US,1594100423
53,iqaluit,63.75,-68.51,48.2,76,90,0.16,CA,1594100630
54,turukhansk,65.82,87.98,61.56,89,100,2.51,RU,1594100631
55,raga,8.46,25.68,72.91,82,100,5.57,SS,1594100631
56,rikitea,-23.12,-134.97,72.82,81,99,11.77,PF,1594100631
57,east london,-33.02,27.91,59.0,77,61,17.22,ZA,1594100631
58,moundou,8.57,16.08,72.28,89,100,4.0,TD,1594100631
59,baturaden,-7.3,109.22,75.94,74,40,4.59,ID,1594100631
60,yavatmal,20.4,78.13,82.78,74,100,12.68,IN,1594100631
61,lopare,44.64,18.84,57.2,87,75,9.17,BA,1594100631
62,hobart,-42.88,147.33,48.2,57,75,8.05,AU,1594100451
63,talnakh,69.49,88.4,68.0,60,88,6.71,RU,1594100631
64,podgornoye,51.73,39.15,78.8,61,23,8.95,RU,1594100631
65,eyl,7.98,49.82,86.22,50,20,26.64,SO,1594100631
